rl_epoch_num : 2
mode : train
data : ./data/OD/dialogues.json
beam_size : 10
batch_size : 32
cuda : False
pretrain : False
vocab_size : 800
sampling : False
beam_search : False
z_length : 8
spv_proportion : 100
teacher_force : 100
m : TSD
result_path : ./results/od.csv
vocab_path : ./vocab/vocab-od.pkl
truncated : False
early_stop_count : 3
prev_z_method : separate
skip_unsup : False
eos_m_token : EOS_M
seed : 0
hidden_size : 50
model_path : ./models/od.pkl
unfrz_attn_epoch : 0
lr : 0.003
embedding_size : 50
split : (3, 1, 1)
entity : ./data/OD/entities.json
max_ts : 40
new_vocab : True
db : ./data/OD/DB.json
dropout_rate : 0.5
layer_num : 1
glove_path : ./data/glove/glove.6B.50d.txt
beam_len_bonus : 0.5
epoch_num : 100
degree_size : 5
lr_decay : 0.5
cuda_device : 0
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
4227,0,is there something on concert,concert EOS_Z1,concert EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4266,0,is there something on behave,behave EOS_Z1,behave EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4041,0,im interested in datasets related to reform,reform EOS_Z1,reform EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4487,0,what do you have on parameter,parameter EOS_Z1,parameter EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4312,0,i am interested in datasets related to blackmail,blackmail EOS_Z1,blackmail EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4207,0,is there something on suite,suite EOS_Z1,suite EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4196,0,is there something on manager,manager EOS_Z1,manager EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4410,0,i am interested in datasets related to restrict,restrict EOS_Z1,restrict EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4581,0,what do you have on major,major EOS_Z1,major EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
4407,0,i am interested in datasets related to unfortunate,unfortunate EOS_Z1,unfortunate EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
3888,0,data concerning ladder,ladder EOS_Z1,ladder EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
4161,0,is there something on ladder,ladder EOS_Z1,ladder EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4120,0,im interested in datasets related to rebel,rebel EOS_Z1,rebel EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4218,0,is there something on training,training EOS_Z1,training EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3676,0,how about neglect ?,neglect EOS_Z1,neglect EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
3985,0,im interested in datasets related to competition,competition EOS_Z1,competition EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,8,2,True
4164,0,is there something on trade,trade EOS_Z1,trade EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
4470,0,what do you have on manner,manner EOS_Z1,manner EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,7,2,True
3799,0,how about manager ?,manager EOS_Z1,manager EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,5,2,True
4393,0,i am interested in datasets related to urgency,urgency EOS_Z1,urgency EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,9,2,True
4180,0,is there something on attractive,attractive EOS_Z1,attractive EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,6,2,True
3892,0,data concerning overlook,overlook EOS_Z1,overlook EOS_Z1,dataset_link_SLOT,dataset_link_SLOT,4,2,True
